Product,Company,Category,Units Sold,Revenue,Cost of Goods Sold,Profit,Purchase Date,Customer Name,Customer State,Customer City,Customer Zip Code,Order ID
Coffee,Coca-Cola,Coffee,151,2141,4956,-2815,2020-07-04,Angela Wilson,California,East Danielleview,35273,1-143-51064-X
Coffee,Coca-Cola,Coffee,624,1620,1156,464,2021-04-09,Zachary Wheeler,Wisconsin,New Kimberlyshire,55509,1-163-25655-2
Wine,Coca-Cola,Alcoholic,853,9978,1030,8948,2022-03-10,Jeremy Arroyo,Massachusetts,Vickieshire,93236,0-345-30366-0
Green Tea,Dr. Pepper,Tea,962,5974,5279,695,2023-05-10,Andrew Fleming,Arizona,Albertberg,34895,1-4844-8219-0
Vodka,Dr. Pepper,Alcoholic,719,3928,2828,1100,2020-11-19,Caroline Smith,Indiana,Johnsonstad,90201,1-85816-387-0
Lemonade,Dr. Pepper,Soft Drink,650,4708,4619,89,2021-09-14,Charles Schmidt,Utah,Hughesland,28547,0-493-90603-7
Coffee,Pepsi,Coffee,101,1398,955,443,2021-02-25,Monica Mercado,North Carolina,Whitakershire,12974,1-4807-1762-2
Cola,Dr. Pepper,Soft Drink,472,6069,4533,1536,2020-12-17,Katherine Robinson,Oregon,New Teresa,52603,1-86050-751-4
Cola,Coca-Cola,Soft Drink,562,9883,7180,2703,2021-12-21,James Salazar,Iowa,New Jessicaton,19798,1-55729-850-5
Energy Drink,Coca-Cola,Soft Drink,245,8617,1709,6908,2022-05-01,Maurice Hall,Maryland,South Heather,63040,1-971855-58-8
Coffee,Dr. Pepper,Coffee,554,2116,1486,630,2023-07-04,Brenda Adams,Utah,South Devintown,42266,1-79959-753-9
Herbal Tea,Dr. Pepper,Tea,502,3428,5865,-2437,2021-02-27,Joshua Jones,Missouri,Nicoletown,38850,1-355-52725-2
Energy Drink,Dr. Pepper,Soft Drink,179,3093,3532,-439,2023-04-13,Jordan Rasmussen,Colorado,Johnfurt,19214,0-408-49597-9
Beer,Dr. Pepper,Alcoholic,935,5668,3070,2598,2021-04-17,David King,Maryland,East Dianahaven,71193,1-4034-4066-2
Cola,Pepsi,Soft Drink,526,3082,7115,-4033,2020-07-29,Jose Murphy,Maryland,South Amyview,84534,1-230-47174-X
Cola,Dr. Pepper,Soft Drink,671,5743,4554,1189,2022-11-17,Hunter Hall,Nevada,North Nicholas,05244,0-320-91549-2
Wine,Coca-Cola,Alcoholic,279,3759,3448,311,2021-02-05,Troy Hernandez,Kansas,North Ashleyhaven,02714,0-560-70787-8
Black Tea,Coca-Cola,Tea,465,6829,4208,2621,2022-03-01,Catherine Jones,Texas,South Andrewmouth,22434,0-392-81194-4
Wine,Dr. Pepper,Alcoholic,192,9870,4795,5075,2021-06-08,David Oconnor,New York,New Danielleland,57084,1-68663-234-7
Green Tea,Coca-Cola,Tea,849,4659,7269,-2610,2021-05-31,Robert Lane,Oklahoma,West Jessica,96805,1-4446-1615-3
Wine,Pepsi,Alcoholic,351,3724,2359,1365,2022-11-24,Christopher Miller,Missouri,Sheilachester,67752,1-4940-8694-8
Beer,Dr. Pepper,Alcoholic,691,9336,3233,6103,2021-06-09,Thomas Lee PhD,Maryland,Rothbury,52708,0-07-408127-6
Beer,Dr. Pepper,Alcoholic,517,2235,2545,-310,2022-05-05,Michael Shepherd,Maine,South Williamberg,22356,0-422-98574-0
Lemonade,Coca-Cola,Soft Drink,658,5411,1161,4250,2022-03-24,Samantha Gregory,Connecticut,West Paul,55365,0-13-102304-7
Herbal Tea,Pepsi,Tea,234,6508,6474,34,2021-03-28,Sophia Woods,Missouri,Michaelfurt,68009,1-966180-26-8
Green Tea,Dr. Pepper,Tea,144,4060,2398,1662,2021-07-22,Jennifer Vincent,Nevada,Youngtown,05158,0-460-47270-4
Beer,Coca-Cola,Alcoholic,279,1132,563,569,2021-02-03,Sandra Rush,Connecticut,West Jennifer,54431,1-322-33309-2
Green Tea,Coca-Cola,Tea,434,9864,3455,6409,2022-04-15,Samantha Robertson,Wyoming,South Marcusshire,02866,1-281-02885-1
Beer,Pepsi,Alcoholic,871,2724,1045,1679,2023-02-19,Jennifer Vaughn,Washington,Tranchester,68104,1-69698-646-X
Wine,Dr. Pepper,Alcoholic,165,4290,3799,491,2022-12-20,Cynthia Miller,Arizona,Emilyburgh,27519,1-05-361806-9
Energy Drink,Coca-Cola,Soft Drink,937,5957,2136,3821,2021-03-09,Lauren Leon,Wyoming,Matthewview,03438,0-8092-3245-6
Energy Drink,Pepsi,Soft Drink,124,3129,4919,-1790,2022-10-21,Barbara Winters,Colorado,Matthewbury,34505,1-4298-5021-3
Herbal Tea,Dr. Pepper,Tea,231,1676,6034,-4358,2020-07-02,Kimberly Lopez,New Mexico,Powellfort,44122,0-458-31329-7
Cola,Pepsi,Soft Drink,146,5483,5354,129,2023-02-13,Angela Molina,Colorado,Jensenstad,83573,0-243-91336-2
Lemonade,Pepsi,Soft Drink,147,3130,2749,381,2020-10-22,Emily Arnold,Idaho,Port Katherineport,96756,1-9799-6416-5
Beer,Dr. Pepper,Alcoholic,846,3104,1594,1510,2021-07-29,Valerie Sweeney,Colorado,New Anthonymouth,44965,1-4592-1480-3
Coffee,Pepsi,Coffee,315,8884,2069,6815,2021-03-22,Miss Kimberly Bell,Maine,New Troyberg,43435,1-70203-836-X
Coffee,Dr. Pepper,Coffee,566,2221,7529,-5308,2022-09-13,Justin Jimenez,Wyoming,Coxville,02813,1-4023-8634-6
Herbal Tea,Coca-Cola,Tea,329,1619,4581,-2962,2021-01-04,Jose Watson,Indiana,Taylorside,57574,0-289-65753-9
Green Tea,Pepsi,Tea,367,6592,7478,-886,2020-09-16,Kimberly Bauer,Arizona,Allenburgh,01879,1-338-18183-1
Coffee,Dr. Pepper,Coffee,426,8283,5180,3103,2022-09-23,Evan Torres,Pennsylvania,West Haleystad,89455,0-503-39889-6
Black Tea,Pepsi,Tea,1000,2551,4498,-1947,2022-01-25,Miss Shelley Hall,North Dakota,Port Carolyn,30032,0-13-309344-1
Beer,Coca-Cola,Alcoholic,307,3271,7297,-4026,2023-02-19,Robert Rhodes,Montana,Lake Michaelhaven,35420,0-241-58177-X
Energy Drink,Pepsi,Soft Drink,243,6729,2992,3737,2020-04-24,Debra Mcbride,New Jersey,Montgomeryside,61846,1-4652-5773-X
Green Tea,Pepsi,Tea,368,2497,2357,140,2021-12-25,Melissa Carter,Arizona,New Darlene,97622,0-8015-4419-X
Coffee,Pepsi,Coffee,386,4250,2611,1639,2021-12-12,William Thompson,Louisiana,Erinburgh,72042,0-409-79261-6
Coffee,Pepsi,Coffee,779,6777,3194,3583,2020-07-29,Richard Simpson,Tennessee,New Marioburgh,46629,0-8326-2332-6
Cola,Coca-Cola,Soft Drink,391,3109,7183,-4074,2022-06-13,Dr. Wendy Foley,Maryland,East Jocelynhaven,49893,0-9545331-2-7
Green Tea,Dr. Pepper,Tea,434,6022,881,5141,2021-03-03,Mallory Curtis,California,West Anthony,70379,1-4124-0125-9
Wine,Coca-Cola,Alcoholic,945,2082,2786,-704,2020-09-09,Willie Jones,Colorado,Nancyland,38969,0-633-99721-8
Wine,Dr. Pepper,Alcoholic,513,3740,2642,1098,2020-03-03,Jeffrey Odonnell,Louisiana,Ramirezburgh,37875,0-513-00959-0
Lemonade,Coca-Cola,Soft Drink,133,2066,4850,-2784,2023-04-21,Lynn Jones,Connecticut,Noahmouth,87107,0-8113-5464-4
Lemonade,Coca-Cola,Soft Drink,129,5840,2713,3127,2021-12-01,Alexis Anderson,New York,South Robert,15412,0-7040-6207-0
Beer,Coca-Cola,Alcoholic,154,7924,4720,3204,2022-08-30,Daniel Perez,Illinois,New Brittanyhaven,23229,1-224-13191-6
Black Tea,Dr. Pepper,Tea,984,6774,7826,-1052,2022-08-17,Meghan Chavez,Nebraska,New Chrismouth,88285,0-7650-5690-9
Cola,Dr. Pepper,Soft Drink,493,6791,2222,4569,2021-01-28,Jaime Lopez,Arizona,North Melissa,02584,1-75651-593-X
Herbal Tea,Coca-Cola,Tea,769,7295,1079,6216,2020-06-01,Benjamin Gomez,Rhode Island,Jensenmouth,72294,0-345-16320-6
Green Tea,Coca-Cola,Tea,971,9822,3277,6545,2023-01-15,Diana Rivera,Tennessee,Brownburgh,66280,0-632-54010-9
Vodka,Dr. Pepper,Alcoholic,789,1813,4560,-2747,2021-08-02,Lauren Mooney,Arizona,Lake Kristiebury,38794,0-268-69991-7
Vodka,Dr. Pepper,Alcoholic,784,6037,6886,-849,2021-02-16,Michael Bennett,Georgia,Lake Rogermouth,06108,0-8225-0758-7
Green Tea,Pepsi,Tea,614,5497,7446,-1949,2020-02-07,David Nelson,New Jersey,Margaretmouth,75932,1-75607-032-6
Wine,Coca-Cola,Alcoholic,702,9307,7952,1355,2022-02-26,James Ferguson,Arkansas,East Traviston,04719,1-56451-337-8
Black Tea,Dr. Pepper,Tea,322,6088,1428,4660,2021-04-10,Caroline Williams,Florida,Karenhaven,57103,1-81899-705-3
Black Tea,Coca-Cola,Tea,386,8954,4345,4609,2022-03-21,Christopher Hardy,Rhode Island,South Peggy,32558,1-5038-5158-3
Black Tea,Dr. Pepper,Tea,129,7545,5125,2420,2020-09-04,William Coffey,Kentucky,New Shawn,81649,1-367-47292-X
Black Tea,Coca-Cola,Tea,438,4131,6023,-1892,2021-04-26,Ronald Reed,Rhode Island,Lake Christopher,98508,0-488-25714-X
